date ; heatTime ; coolTime
12-3-2014 ; 2302 ; 0
12-4-2014 ; 798 ; 0
12-5-2014 ; 1818 ; 0
12-6-2014 ; 0 ; 0
12-7-2014 ; 1687 ; 0
12-8-2014 ; 2049 ; 0
12-9-2014 ; 1875 ; 0
12-10-2014 ; 2951 ; 0
12-11-2014 ; 834 ; 0
12-12-2014 ; 5233 ; 0
12-13-2014 ; 8784 ; 0
12-14-2014 ; 5938 ; 0
12-15-2014 ; 6483 ; 0
12-16-2014 ; 3537 ; 0
12-17-2014 ; 5231 ; 0
12-18-2014 ; 5670 ; 0
12-19-2014 ; 4528 ; 0
12-20-2014 ; 0 ; 0
12-21-2014 ; 0 ; 0
12-22-2014 ; 0 ; 0
12-23-2014 ; 4314 ; 0
12-24-2014 ; 6232 ; 0
12-25-2014 ; 10350 ; 0
12-26-2014 ; 14659 ; 0
12-27-2014 ; 14312 ; 0
12-28-2014 ; 12089 ; 0
12-29-2014 ; 11811 ; 0
12-30-2014 ; 16408 ; 0
